"key","placeholders","vi","en","hi","zh","zh_TW","si","used_in","note"
"experience","","Trải nghiệm","Explore","अनुभव","体验","體驗","අත්දැකීම්","tiêu đề mục dẫn đường/khám phá trên HOME (D1-B: KHÔNG còn là nhãn tab)","D1-B: không thêm tab — key dùng cho mục trên Home; tiêu đề khu vực 7 thẻ tái dùng key có sẵn 'studioRoom'"
"experienceSubtitle","","Guided Studio · chọn một mode để được dẫn từng bước","Guided Studio · pick a mode to be guided step by step","Guided Studio · चरण-दर-चरण मार्गदर्शन के लिए एक मोड चुनें","Guided Studio · 选择一个模式获得分步引导","Guided Studio · 選擇一個模式獲得逐步引導","Guided Studio · පියවරෙන් පියවර මඟ පෙන්වීම සඳහා එක් ආකාරයක් තෝරන්න","header tab","D1-B: đặt dưới tiêu đề PHÒNG STUDIO ở Home"
"experienceDiscoverTools","","Khám phá công cụ","Discover tools","टूल खोजें","探索工具","探索工具","මෙවලම් සොයා ගන්න","tiêu đề carousel ⚡","D1-B: mục carousel trên Home (không phải tab riêng)"
"experienceGoal","","MỤC TIÊU","GOAL","लक्ष्य","目标","目標","ඉලක්කය","khối mục tiêu trong chi tiết mode","nhãn ngắn, viết hoa toàn bộ"
"experienceStepCounter","{n}:int, {m}:int","bước {n}/{m}","step {n} of {m}","चरण {n}/{m}","第 {n}/{m} 步","第 {n}/{m} 步","පියවර {n}/{m}","header tour dẫn đường","cần khai báo placeholders trong ARB"
"experienceOpenNow","","Mở ngay","Open","अभी खोलें","立即打开","立即開啟","දැන් විවෘත කරන්න","nút trên mỗi bước + mỗi thẻ tool ⚡",""
"experienceSkipTour","","Bỏ qua tour","Skip tour","टूर छोड़ें","跳过导览","略過導覽","ටූර් එක මඟ හරින්න","nút phụ của tour",""
"experienceMarkDone","","Đánh dấu hoàn thành","Mark as done","पूर्ण के रूप में चिह्नित करें","标记为已完成","標記為已完成","සම්පූර්ණ ලෙස සලකුණු කරන්න","nút chính của tour",""
"experienceRestartTour","","Chạy lại tour","Restart tour","टूर फिर से चलाएँ","重新开始导览","重新開始導覽","ටූර් එක නැවත අරඹන්න","nút khi tour đã hoàn thành",""
"speak","","Nói","Speak","बोलें","说","說","කථා කරන්න","thẻ mode NÓI + chip ở tab Nghe","song song với listen/read/understand/remember đã có; KHÔNG đụng key commonSpeaking hiện hữu"
"watch","","Xem","Watch","देखें","看","看","නරඹන්න","thẻ mode XEM",""
"write","","Viết","Write","लिखें","写","寫","ලියන්න","thẻ mode VIẾT + chip ở tab Đọc",""
"experienceToolNeedsData","","Chưa có dữ liệu","No data yet","अभी कोई डेटा नहीं","暂无数据","暫無資料","තවම දත්ත නැත","badge thẻ Tipiṭaka","badge = thiếu gì, KHÔNG phải disable"
"experienceToolNeedsImport","","Trống: chưa import","Empty: nothing imported yet","खाली: अभी कुछ आयात नहीं","空白：尚未导入","空白：尚未匯入","හිස්: තවම ආයාත කර නැත","badge Video / Từ điển MDX",""
"experienceToolNeedsWordList","","Trống: cần Word List","Empty: needs Word List","खाली: Word List चाहिए","空白：需要单词表","空白：需要單字表","හිස්: Word List අවශ්‍යයි","badge Word Map / Triangle / Venn",""
"experienceToolNeedsMicModel","","Cần mic + model STT","Needs mic + STT model","माइक + STT मॉडल चाहिए","需要麦克风 + 语音识别模型","需要麥克風 + 語音辨識模型","මයික් + STT ආකෘතිය අවශ්‍යයි","badge Cabin dịch live / Nói",""
"experienceToolNeedsNetwork","","Cần mạng","Needs network","नेटवर्क चाहिए","需要网络","需要網路","ජාලය අවශ්‍යයි","badge YouGlish / YouTube",""
"experienceToolNeedsAiModel","","Cần model AI local","Needs local AI model","लोकल AI मॉडल चाहिए","需要本地 AI 模型","需要本機 AI 模型","දේශීය AI ආකෘතිය අවශ්‍යයි","badge bước Viết (phân tích bằng AI)","chỉ hiện khi người dùng chọn đường AI"
"experienceNeedsAudioAndText","","Cần cả audio + text","Needs both audio and text","ऑडियो और टेक्स्ट दोनों चाहिए","需要音频和文本","需要音訊和文字","ශ්‍රව්‍ය සහ පෙළ දෙකම අවශ්‍යයි","badge mode HIỂU",""
"experienceNeedsAudio","","Cần audio","Needs audio","ऑडियो चाहिए","需要音频","需要音訊","ශ්‍රව්‍ය අවශ්‍යයි","badge mode NGHE / Âm mục",""
